,Job Title,Job Company,Job Location,Company Rating,Company Rating Numbers,Company Size,Company Founded,Company Type,Company Industry,Company Sector,Company Revenue,Level,Minimum,Maximum,Currency,Category,Company ,Role
27,"Senior Data Scientist, Analytics",Discord,"San Francisco, CA",4.6,62,51 to 200 Employees,2015,Company - Private,Internet,Information Technology,$1 to $5 million (USD),Senior,88000.0,163000.0,USD,Data Science,,Data Analyst
28,"Data Scientist, Supply",Wish,"San Francisco, CA",3.6,109,1001 to 5000 Employees,2010,Company - Public,Internet,Information Technology,$1 to $2 billion (USD),Normal,103000.0,184000.0,USD,Data Science,,Data Science
29,Data Scientist,Bolt,"San Francisco, CA",4.7,99,51 to 200 Employees,2014,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,Normal,89000.0,182000.0,USD,Data Science,,Data Science
30,Data Scientist,IDEO,"San Francisco, CA",0.0,0,Unknown,0,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,Normal,92000.0,186000.0,USD,Data Science,,Data Science
31,Data Scientist,Camus Energy,"San Francisco, CA",4.0,0,Unknown,0,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,Normal,80000.0,162000.0,USD,Data Science,,Data Science
32,"Experience Researcher, AI",Adobe,"San Francisco, CA",4.4,1216,10000+ Employees,1982,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD),Normal,57000.0,145000.0,USD,Data Science,,Artificial Intelligence
33,Growth Data Scientist,"Data Science Works, Inc","San Francisco, CA",0.0,0,Unknown,0,Unknown,Unknown,Unknown,Unknown,Normal,90000.0,120000.0,USD,Data Science,,Data Science
34,Data Scientist,"Grammarly, Inc.","San Francisco, CA",4.9,121,201 to 500 Employees,2009,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Normal,104000.0,180000.0,USD,Data Science,,Data Science
35,Senior Data Scientist - Analytics,"Twitch Interactive, Inc.","San Francisco, CA",3.7,4703,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),Senior,113000.0,191000.0,USD,Data Science,,Data Analyst
36,Data Scientist (associate level),Doorstead,"San Francisco, CA",4.5,0,Unknown,0,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,Normal,75000.0,167000.0,USD,Data Science,,Data Science
